generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,1.2795794678211802e-05,1.939079218620806e-05,1.568602471222589e-05,1.2730621528760795e-06
1,323,1.2795794678211802e-05,1.939079218620806e-05,1.5917658196823406e-05,1.3531829854421978e-06
2,350,1.2795794678211802e-05,1.939079218620806e-05,1.59286771930245e-05,1.246210714139666e-06
3,340,1.2795794678211802e-05,1.939079218620806e-05,1.604478237024804e-05,1.3123100913697045e-06
4,337,1.2795794678211802e-05,1.939079218620806e-05,1.6169845963884753e-05,1.4062665984372816e-06
5,346,1.2795794678211802e-05,1.9558443887806328e-05,1.622997753404963e-05,1.4161490682226697e-06
6,358,1.2795794678211802e-05,1.939079218620806e-05,1.6445840576128596e-05,1.4310791198904736e-06
7,338,1.2795794678211802e-05,1.9735698694521984e-05,1.6432624620404276e-05,1.4101082453316462e-06
8,337,1.2795794678211802e-05,1.9735698694521984e-05,1.6462842341183627e-05,1.427574467494656e-06
9,362,1.2795794678211802e-05,1.9614192609048396e-05,1.6491246142389096e-05,1.4432666872827336e-06
10,328,1.2795794678211802e-05,1.9614192609048396e-05,1.660991752698496e-05,1.4467746727240648e-06
11,364,1.2655999896927038e-05,1.9614192609048396e-05,1.671924608429038e-05,1.477994437810651e-06
12,348,1.2655999896927038e-05,1.9614192609048396e-05,1.6797877016075856e-05,1.4925880447234211e-06
13,331,1.2655999896927038e-05,1.9614192609048396e-05,1.6888297524764254e-05,1.4621460272757615e-06
14,343,1.2655999896927038e-05,1.9614192609048396e-05,1.6905957600038038e-05,1.4649953317927672e-06
15,346,1.2655999896927038e-05,1.9614192609048396e-05,1.706297213877226e-05,1.4703705760000014e-06
16,345,1.2655999896927038e-05,1.9614192609048396e-05,1.7068450722735844e-05,1.4973815748403e-06
17,345,1.2655999896927038e-05,1.9614192609048396e-05,1.730254170056573e-05,1.4138565957980456e-06
18,335,1.2655999896927038e-05,1.9614192609048396e-05,1.7385177533462893e-05,1.406532574846382e-06
19,349,1.2655999896927038e-05,1.9614192609048396e-05,1.753194304089956e-05,1.424115947243892e-06
20,339,1.2655999896927038e-05,1.9614192609048396e-05,1.7663912734286457e-05,1.4677590959717985e-06
21,340,1.472165007089069e-05,1.9614192609048396e-05,1.7684643231508234e-05,1.393275438970842e-06
22,337,1.472165007089069e-05,1.9614192609048396e-05,1.7733188672689916e-05,1.3913465623832482e-06
23,329,1.4537773980084411e-05,1.9614192609048396e-05,1.79035100870559e-05,1.342145743495287e-06
24,335,1.4537773980084411e-05,1.987525008713374e-05,1.797433016033792e-05,1.3463619499515505e-06
25,340,1.4537773980084411e-05,1.987525008713374e-05,1.8101713289428236e-05,1.2722101690636804e-06
26,351,1.4537773980084411e-05,1.987525008713374e-05,1.822236089572522e-05,1.199860186785245e-06
27,349,1.4537773980084411e-05,1.987525008713374e-05,1.8283137007747172e-05,1.1831271744638853e-06
28,354,1.4829895683630644e-05,1.987525008713374e-05,1.833267299994498e-05,1.115194821333759e-06
29,347,1.5252504491097332e-05,1.987525008713374e-05,1.8509969750008206e-05,1.0395477425329696e-06
30,343,1.5277738438135322e-05,1.9963056123744217e-05,1.8571491285392084e-05,9.851068503042013e-07
31,343,1.5277738438135322e-05,1.987525008713374e-05,1.8677425262588325e-05,9.225856875158725e-07
32,346,1.5455821765454973e-05,1.9976258137637567e-05,1.8699591101236814e-05,8.774317272646108e-07
33,353,1.622649086534488e-05,1.9976258137637567e-05,1.876229388748736e-05,8.325901911717214e-07
34,352,1.622649086534488e-05,1.9976258137637567e-05,1.8864993645563217e-05,7.273266857365006e-07
35,354,1.648392643452954e-05,1.9976258137637567e-05,1.884906234245768e-05,7.101950160418259e-07
36,336,1.639587315113091e-05,1.9976258137637567e-05,1.8866545399083984e-05,6.826792130380859e-07
37,350,1.648392643452954e-05,1.9976258137637567e-05,1.889816340476274e-05,6.507162775253753e-07
38,330,1.659178603009545e-05,1.9976258137637567e-05,1.890713409314831e-05,6.20980262844031e-07
39,325,1.659178603009545e-05,1.9976258137637567e-05,1.8927595500535327e-05,6.510326939449738e-07
40,342,1.651979067328101e-05,1.9976258137637567e-05,1.890418808931296e-05,6.677727628245134e-07
41,344,1.651979067328101e-05,1.9976258137637567e-05,1.8924266366323286e-05,6.341561565124376e-07
42,339,1.659178603009545e-05,1.9976258137637567e-05,1.8948762443549253e-05,5.879265243639514e-07
43,336,1.694607097734389e-05,1.9976258137637567e-05,1.900173518960644e-05,5.529814014108695e-07
44,331,1.711801317272415e-05,1.9976258137637567e-05,1.9010243854314263e-05,5.445471424375649e-07
45,351,1.711801317272415e-05,1.9976258137637567e-05,1.9036691138033355e-05,5.167360738263772e-07
46,346,1.732228582651869e-05,2.0070038567625008e-05,1.9064984206446782e-05,5.028210513707229e-07
47,352,1.732228582651869e-05,1.9976258137637567e-05,1.9016836612042405e-05,5.824230132901637e-07
48,340,1.732228582651869e-05,1.9976258137637567e-05,1.909393400075611e-05,5.254569278765286e-07
49,341,1.732228582651869e-05,1.9976258137637567e-05,1.9126465552001937e-05,5.439526601816036e-07
50,360,1.732228582651869e-05,1.9976258137637567e-05,1.9098942113583773e-05,5.769646730239919e-07
51,353,1.732228582651869e-05,1.9976258137637567e-05,1.9113377516065553e-05,5.646660319996893e-07
52,323,1.732228582651869e-05,1.9976258137637567e-05,1.9118441285401682e-05,5.358675563458975e-07
53,337,1.7285950846212118e-05,1.9976258137637567e-05,1.9073158784818195e-05,5.900531118212259e-07
54,338,1.7285950846212118e-05,1.9976258137637567e-05,1.91581146427832e-05,5.234519852589274e-07
55,359,1.731489842482991e-05,1.9976258137637567e-05,1.916707675585686e-05,4.903352665735063e-07
56,327,1.731489842482991e-05,1.9976258137637567e-05,1.917046769125422e-05,4.609825459883049e-07
57,344,1.731489842482991e-05,2.008182259814075e-05,1.919887844308827e-05,4.668842671471011e-07
58,333,1.6512961382263712e-05,2.008182259814075e-05,1.9162273255874515e-05,5.367807877149552e-07
59,349,1.731489842482991e-05,2.008182259814075e-05,1.918263365560485e-05,5.282799312363323e-07
60,351,1.6971479488692858e-05,2.008182259814075e-05,1.9168844178216053e-05,5.371293465137655e-07
61,327,1.732228582651869e-05,2.008182259814075e-05,1.9185981715206167e-05,5.219307850240406e-07
62,347,1.732228582651869e-05,2.008182259814075e-05,1.916218362086964e-05,5.757352715197041e-07
63,349,1.732228582651869e-05,2.008182259814075e-05,1.9148914892292612e-05,6.083525656700671e-07
64,338,1.732228582651869e-05,2.073924192543361e-05,1.9120869329936728e-05,6.363183319937396e-07
65,359,1.6376683707962428e-05,2.073924192543361e-05,1.9183621208751197e-05,5.897143662815887e-07
66,320,1.6376683707962428e-05,2.147528301247849e-05,1.918017403267208e-05,6.202918815423646e-07
67,352,1.6376683707962428e-05,2.147528301247849e-05,1.9192639002948366e-05,6.255766186941119e-07
68,353,1.732827629370155e-05,2.147528301247849e-05,1.923954825056011e-05,5.999301499280406e-07
69,346,1.704498830047949e-05,2.147528301247849e-05,1.9315732687361998e-05,6.419611920841445e-07
70,336,1.704498830047949e-05,2.147528301247849e-05,1.9352222712115582e-05,6.873091620334764e-07
71,332,1.704498830047949e-05,2.147528301247849e-05,1.940673542925848e-05,6.75046325210455e-07
72,325,1.732827629370155e-05,2.147528301247849e-05,1.943504017227188e-05,6.283358063402463e-07
73,357,1.732827629370155e-05,2.147528301247849e-05,1.947379808985984e-05,6.242572685875356e-07
74,346,1.732827629370155e-05,2.147528301247849e-05,1.941138680007562e-05,6.035405957448239e-07
75,340,1.732827629370155e-05,2.147528301247849e-05,1.944470714354031e-05,6.029351497390934e-07
76,347,1.732827629370155e-05,2.147528301247849e-05,1.9462669216769688e-05,6.355955117112183e-07
77,343,1.732827629370155e-05,2.147528301247849e-05,1.9513318955842733e-05,5.900122735338145e-07
78,348,1.732827629370155e-05,2.147528301247849e-05,1.950505795823978e-05,5.445746508910599e-07
79,349,1.732827629370155e-05,2.147528301247849e-05,1.9543964248093527e-05,5.525909160750413e-07
80,324,1.732827629370155e-05,2.147528301247849e-05,1.956764660082869e-05,5.290770169493058e-07
81,338,1.732827629370155e-05,2.147528301247849e-05,1.9571637881761507e-05,5.42785165227056e-07
82,347,1.732827629370155e-05,2.147528301247849e-05,1.9587177651968583e-05,5.709316569045496e-07
83,342,1.732827629370155e-05,2.147528301247849e-05,1.9592640576318536e-05,6.26840808765951e-07
84,338,1.732827629370155e-05,2.147528301247849e-05,1.96255296633483e-05,5.911787989565444e-07
85,347,1.732827629370155e-05,2.147528301247849e-05,1.960357909668762e-05,6.530409312846215e-07
86,347,1.732827629370155e-05,2.147528301247849e-05,1.9645780340626927e-05,6.802941368587187e-07
87,331,1.732827629370155e-05,2.147528301247849e-05,1.966137972672157e-05,7.028203625766965e-07
88,358,1.732827629370155e-05,2.147528301247849e-05,1.9648787890895114e-05,6.657081455543345e-07
89,351,1.732827629370155e-05,2.147528301247849e-05,1.96664831068296e-05,6.877579253570683e-07
90,324,1.732827629370155e-05,2.147528301247849e-05,1.9723797659556022e-05,7.329723055277174e-07
91,352,1.732827629370155e-05,2.147528301247849e-05,1.9749402137910553e-05,7.427662798016879e-07
92,343,1.732827629370155e-05,2.147528301247849e-05,1.972219154635352e-05,7.642204579618169e-07
93,321,1.732827629370155e-05,2.147528301247849e-05,1.974299767458484e-05,7.641809669016806e-07
94,332,1.732827629370155e-05,2.147528301247849e-05,1.9750857741724336e-05,8.060458865257961e-07
95,354,1.7209231369008134e-05,2.147528301247849e-05,1.9807125972356433e-05,7.884157427964639e-07
96,347,1.8153683749383878e-05,2.147528301247849e-05,1.974509246689629e-05,7.320263084090093e-07
97,328,1.854073497454941e-05,2.147528301247849e-05,1.9753610378291773e-05,6.772139282806501e-07
98,359,1.854073497454941e-05,2.147528301247849e-05,1.9760529609608837e-05,6.624786771755084e-07
99,351,1.828088717027541e-05,2.147528301247849e-05,1.9830180308340593e-05,7.212460706573539e-07
100,344,1.8585226625609703e-05,2.147528301247849e-05,1.9879398907924322e-05,7.676645681810828e-07
101,319,1.8658473478617336e-05,2.158807120346546e-05,1.9939258478549657e-05,8.009309269003841e-07
102,339,1.8591159103626906e-05,2.158807120346546e-05,2.0008588999776363e-05,8.168938603077075e-07
103,329,1.8614375160959266e-05,2.199152528179093e-05,2.0015964648406446e-05,8.132554731974211e-07
104,339,1.8614375160959266e-05,2.199152528179093e-05,2.0063667573920274e-05,8.20064032542174e-07
